,Trial,Method,Time
0,0,AbPNLMulti,326.3313993500051
1,1,AbPNLMulti,344.8669863390096
2,2,AbPNLMulti,337.83085684299294
3,3,AbPNLMulti,275.1525665319932
4,4,AbPNLMulti,247.0149145260075
5,5,AbPNLMulti,255.05768519900448
6,6,AbPNLMulti,236.17812332200992
7,7,AbPNLMulti,234.1557033269928
8,8,AbPNLMulti,241.27489128900925
9,9,AbPNLMulti,238.22230105899507
