,Trial,Method,Time
0,0,OursMulti,22.646697882999433
1,1,OursMulti,21.256932157004485
2,2,OursMulti,23.048264302007738
3,3,OursMulti,22.52650462600286
4,4,OursMulti,20.28563516199938
5,5,OursMulti,24.445266738999635
6,6,OursMulti,22.603228865002166
7,7,OursMulti,22.46375651100243
8,8,OursMulti,22.902016252002795
9,9,OursMulti,20.040128954002284
