Method,Data,AUC,Acc
ANM,Tuebingen,0.549795918367347,0.5252525252525253
PNL,Tuebingen,0.6322448979591836,0.5959595959595959
AbPNL,Tuebingen,0.6851020408163265,0.6262626262626263
CAREFL,Tuebingen,0.6510204081632653,0.5252525252525253
RECI,Tuebingen,0.6967346938775509,0.6262626262626263
LOCI,Tuebingen,0.620408163265306,0.6363636363636364
HECI,Tuebingen,0.6455102040816327,0.5959595959595959
Ours,Tuebingen,0.7383673469387756,0.7171717171717171
