,Trials,Num_edges,gt_A,pred_A,pred_order,full_A,SHD,SID,Missing,Reverse,Extra,D_order,Cfg
0,0,6,"[[0 0 0 0 0]
 [1 0 1 0 1]
 [0 0 0 1 0]
 [0 0 0 0 0]
 [1 0 0 1 0]]","[[0 0 0 0 0]
 [1 0 0 0 1]
 [0 0 0 0 0]
 [0 0 1 0 0]
 [0 0 0 0 0]]","[1, 4, 3, 0, 2]","[[0. 0. 1. 0. 0.]
 [1. 0. 1. 1. 1.]
 [0. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0.]
 [1. 0. 1. 1. 0.]]",4,10.0,3,1,0,1,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=5, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
1,1,4,"[[0 0 0 0 0]
 [0 0 0 0 1]
 [1 0 0 1 1]
 [0 0 0 0 0]
 [0 0 0 0 0]]","[[0 0 0 0 0]
 [0 0 0 0 1]
 [0 0 0 1 1]
 [0 0 0 0 0]
 [0 0 0 0 0]]","[1, 2, 4, 0, 3]","[[0. 0. 0. 1. 0.]
 [1. 0. 1. 1. 1.]
 [1. 0. 0. 1. 1.]
 [0. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0.]]",1,3.0,1,0,0,0,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=5, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
2,2,6,"[[0 0 0 0 0]
 [1 0 0 1 0]
 [1 1 0 1 0]
 [0 0 0 0 0]
 [1 0 0 0 0]]","[[0 0 0 1 0]
 [0 0 0 1 0]
 [1 1 0 1 0]
 [0 0 0 0 0]
 [0 0 0 0 0]]","[2, 0, 1, 4, 3]","[[0. 1. 0. 1. 1.]
 [0. 0. 0. 1. 1.]
 [1. 1. 0. 1. 1.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 1. 0.]]",3,3.0,2,0,1,2,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=5, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
3,3,6,"[[0 0 0 0 0]
 [1 0 0 0 0]
 [0 0 0 0 0]
 [0 0 1 0 1]
 [1 1 1 0 0]]","[[0 0 0 0 0]
 [1 0 0 0 0]
 [0 0 0 0 0]
 [0 0 1 0 1]
 [1 1 1 0 0]]","[3, 4, 1, 2, 0]","[[0. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0.]
 [1. 0. 0. 0. 0.]
 [1. 1. 1. 0. 1.]
 [1. 1. 1. 0. 0.]]",0,0.0,0,0,0,0,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=5, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
4,4,5,"[[0 1 0 0 1]
 [0 0 1 0 0]
 [0 0 0 0 0]
 [0 0 1 0 0]
 [0 0 1 0 0]]","[[0 1 0 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [0 0 1 0 0]
 [0 0 0 0 0]]","[0, 4, 1, 3, 2]","[[0. 1. 1. 1. 1.]
 [0. 0. 1. 1. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0.]
 [0. 1. 1. 1. 0.]]",3,6.0,3,0,0,0,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=5, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
5,5,4,"[[0 0 0 0 0]
 [0 0 1 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [1 1 0 1 0]]","[[0 0 0 0 0]
 [0 0 1 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [1 0 0 1 0]]","[4, 1, 3, 2, 0]","[[0. 0. 0. 0. 0.]
 [1. 0. 1. 1. 0.]
 [1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0.]
 [1. 1. 1. 1. 0.]]",1,3.0,1,0,0,0,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=5, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
6,6,5,"[[0 1 1 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [1 0 1 0 0]
 [1 0 0 0 0]]","[[0 1 1 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [0 0 1 0 0]
 [1 0 0 0 0]]","[3, 4, 0, 1, 2]","[[0. 1. 1. 0. 0.]
 [0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0.]
 [1. 1. 1. 0. 1.]
 [1. 1. 1. 0. 0.]]",1,2.0,1,0,0,0,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=5, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
7,7,5,"[[0 0 1 1 1]
 [0 0 0 0 1]
 [0 0 0 0 0]
 [0 1 0 0 0]
 [0 0 0 0 0]]","[[0 0 1 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [0 1 0 0 0]
 [0 0 0 0 0]]","[0, 2, 4, 3, 1]","[[0. 1. 1. 1. 1.]
 [0. 0. 0. 0. 0.]
 [0. 1. 0. 1. 1.]
 [0. 1. 0. 0. 0.]
 [0. 1. 0. 1. 0.]]",3,7.0,3,0,0,1,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=5, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
8,8,7,"[[0 0 0 1 0]
 [1 0 0 1 0]
 [1 0 0 1 0]
 [0 0 0 0 0]
 [0 0 1 1 0]]","[[0 0 0 1 0]
 [1 0 0 0 0]
 [0 0 0 1 0]
 [0 0 0 0 0]
 [0 0 1 1 0]]","[1, 0, 4, 2, 3]","[[0. 0. 1. 1. 1.]
 [1. 0. 1. 1. 1.]
 [0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 1. 1. 0.]]",2,4.0,2,0,0,1,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=5, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
9,9,6,"[[0 1 0 1 0]
 [0 0 0 0 0]
 [0 0 0 1 0]
 [0 1 0 0 1]
 [0 1 0 0 0]]","[[0 1 0 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [0 0 0 0 1]
 [0 0 0 0 0]]","[2, 0, 3, 4, 1]","[[0. 1. 0. 1. 1.]
 [0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 1.]
 [0. 1. 0. 0. 1.]
 [0. 1. 0. 0. 0.]]",4,6.0,4,0,0,0,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=5, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
