,Trials,Num_edges,gt_A,pred_A,pred_order,full_A,SHD,SID,Missing,Reverse,Extra,D_order,Cfg
0,0,8,"[[0 0 0 0 0 0 1]
 [0 0 1 1 0 0 0]
 [0 0 0 0 0 0 1]
 [0 0 0 0 1 0 0]
 [0 0 0 0 0 1 1]
 [0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 1]
 [0 0 1 1 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0]
 [0 0 0 0 0 1 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]]","[0, 1, 3, 4, 5, 6, 2]","[[0. 1. 1. 1. 1. 1. 1.]
 [0. 0. 1. 1. 1. 1. 1.]
 [0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 1. 1. 1.]
 [0. 0. 1. 0. 0. 1. 1.]
 [0. 0. 1. 0. 0. 0. 1.]
 [0. 0. 1. 0. 0. 0. 0.]]",3,5.0,3,0,0,1,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=7, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
1,1,8,"[[0 0 0 1 1 1 0]
 [0 0 0 0 1 0 0]
 [0 0 0 0 0 1 0]
 [0 0 0 0 0 1 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 1 1 0 0 0]]","[[0 0 0 0 1 0 0]
 [0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0]
 [1 0 1 0 0 0 0]
 [0 0 0 0 0 0 0]
 [1 0 1 1 0 0 0]
 [1 0 1 1 0 0 0]]","[5, 6, 1, 3, 0, 2, 4]","[[0. 0. 1. 0. 1. 0. 0.]
 [1. 0. 1. 1. 1. 0. 0.]
 [0. 0. 0. 0. 1. 0. 0.]
 [1. 0. 1. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 1. 1. 0. 1.]
 [1. 1. 1. 1. 1. 0. 0.]]",6,15.0,0,4,2,4,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=7, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
2,2,12,"[[0 1 0 1 0 0 1]
 [0 0 0 0 0 0 0]
 [1 0 0 0 0 1 1]
 [0 0 0 0 0 0 0]
 [1 1 0 1 0 1 0]
 [0 0 0 1 0 0 0]
 [0 1 0 0 0 0 0]]","[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 1]
 [1 0 0 0 0 0 0]
 [1 1 0 1 0 0 0]
 [0 0 0 0 0 0 0]
 [1 1 0 0 0 0 0]]","[2, 4, 5, 6, 1, 3, 0]","[[0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 0. 0.]
 [1. 1. 0. 1. 1. 1. 1.]
 [1. 0. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 1. 1.]
 [1. 1. 0. 1. 0. 0. 1.]
 [1. 1. 0. 1. 0. 0. 0.]]",7,25.0,5,2,0,3,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=7, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
3,3,8,"[[0 0 1 0 0 0 0]
 [1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 1 0 0 0 0]
 [0 0 0 0 0 0 1]
 [0 0 1 1 0 0 0]
 [1 0 0 0 0 1 0]]","[[0 1 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 1 1 0 0 0]
 [0 0 0 0 0 1 0]]","[4, 6, 5, 3, 0, 1, 2]","[[0. 1. 1. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 0. 0. 0. 0.]
 [1. 1. 1. 1. 0. 1. 1.]
 [1. 1. 1. 1. 0. 0. 0.]
 [1. 1. 1. 1. 0. 1. 0.]]",4,17.0,3,1,0,1,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=7, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
4,4,12,"[[0 1 1 0 0 1 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 1 1 0 0 1 0]
 [1 1 0 0 0 0 0]
 [0 0 1 0 0 0 0]
 [1 1 1 0 0 0 0]]","[[0 1 1 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 1 1 0 0 0 0]
 [1 1 0 0 0 0 0]
 [0 0 0 1 0 0 0]
 [0 1 1 0 0 0 0]]","[5, 4, 3, 6, 0, 2, 1]","[[0. 1. 1. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 1. 0. 0. 0. 1.]
 [1. 1. 1. 1. 0. 0. 1.]
 [1. 1. 1. 1. 1. 0. 1.]
 [1. 1. 1. 0. 0. 0. 0.]]",4,16.0,3,1,0,2,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=7, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
5,5,9,"[[0 0 1 0 0 0 0]
 [0 0 1 0 0 0 1]
 [0 0 0 0 0 1 0]
 [1 0 1 0 0 0 1]
 [0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0]
 [0 0 1 0 0 0 0]]","[[0 0 0 0 0 0 0]
 [0 0 1 0 0 0 1]
 [1 0 0 0 0 0 0]
 [0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0]
 [0 1 1 1 1 0 0]
 [0 0 0 0 0 0 0]]","[5, 3, 1, 2, 0, 4, 6]","[[0. 0. 0. 0. 1. 0. 1.]
 [1. 0. 1. 0. 1. 0. 1.]
 [1. 0. 0. 0. 1. 0. 1.]
 [1. 1. 1. 0. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 1.]
 [1. 1. 1. 1. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0.]]",7,28.0,3,2,2,3,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=7, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
6,6,7,"[[0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 1 0 0 0 0 0]
 [0 0 1 0 0 0 1]
 [0 1 1 0 0 0 0]
 [0 1 0 0 0 0 0]]","[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 1 0 0 0 0]
 [1 0 0 0 1 0 0]]","[3, 6, 5, 4, 2, 0, 1]","[[0. 1. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 0. 0. 0. 0. 0.]
 [1. 1. 1. 0. 1. 1. 1.]
 [1. 1. 1. 0. 0. 0. 0.]
 [1. 1. 1. 0. 1. 0. 0.]
 [1. 1. 1. 0. 1. 1. 0.]]",6,19.0,4,2,0,2,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=7, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
7,7,10,"[[0 1 0 0 0 0 1]
 [0 0 0 0 0 0 0]
 [0 0 0 1 1 0 0]
 [1 0 0 0 1 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0]
 [0 1 0 0 1 1 0]]","[[0 1 0 1 0 1 1]
 [0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0]
 [0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 1 0 1]
 [0 1 0 0 1 0 0]]","[2, 0, 5, 6, 3, 1, 4]","[[0. 1. 0. 1. 1. 1. 1.]
 [0. 0. 0. 0. 1. 0. 0.]
 [1. 1. 0. 1. 1. 1. 1.]
 [0. 1. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 1. 1. 0. 1.]
 [0. 1. 0. 1. 1. 0. 0.]]",4,14.0,1,2,1,2,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=7, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
8,8,10,"[[0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0]
 [1 1 0 0 1 0 0]
 [1 1 0 0 0 0 0]
 [1 0 0 0 0 0 0]
 [1 1 0 0 0 0 0]
 [0 1 0 0 0 0 0]]","[[0 0 0 0 0 0 0]
 [0 0 1 0 0 0 1]
 [0 0 0 0 1 0 0]
 [1 1 0 0 0 0 0]
 [1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]]","[3, 1, 2, 6, 5, 4, 0]","[[0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 1. 0. 1. 1. 1.]
 [1. 0. 0. 0. 1. 1. 1.]
 [1. 1. 1. 0. 1. 1. 1.]
 [1. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0.]
 [1. 0. 0. 0. 1. 1. 0.]]",6,20.0,4,2,0,3,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=7, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
9,9,8,"[[0 0 0 0 0 0 1]
 [0 0 0 1 0 0 1]
 [0 0 0 1 0 0 1]
 [0 0 0 0 1 0 0]
 [0 0 0 0 0 0 1]
 [0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0]
 [0 0 0 1 0 0 1]
 [0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0]]","[5, 1, 6, 0, 3, 4, 2]","[[0. 0. 1. 1. 1. 0. 0.]
 [1. 0. 1. 1. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 1. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0.]
 [1. 1. 1. 1. 1. 0. 1.]
 [1. 0. 1. 1. 1. 0. 0.]]",5,12.0,4,1,0,4,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=7, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
